Taxon	M.02.c.S52	M.1.b.S33	M.min.b.S16	M.2.c.S35	M.01.a.S22	M.02.b.S59	M.01.c.S3	M.005.b.S39	S.02.a.S32	M.05.c.S36	M.005.c.S47	M.min.a.S30	S.005.c.S15	M.min.c.S48	M.05.a.S44	M.2.a.S38	M.005.a.S53	S.005.a.S41	S.01.b.S9	S.01.c.S25	M.1.c.S31	M.1.a.S40	M.02.a.S29	M.05.b.S19	S.01.a.S45	M.01.b.S60	M.2.b.S50	S.005.b.S5	S.02.b.S61	S.2.b.S20	S.05.c.S54	S.min.a.S21	S.1.b.S49	S.min.b.S4	S.1.a.S7	S.min.c.S10	S.2.c.S55	S.05.b.S24	S.05.a.S51	S.02.c.S2	S.1.c.S14	S.2.a.S18
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Ramlibacter	66	103	122	67	84	100	76	111	38	116	95	104	21	109	91	57	144	12	64	29	75	92	98	133	27	91	52	18	36	72	57	12	44	22	101	33	116	53	54	35	44	65
d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Gaiellales; f__uncultured; g__uncultured; s__uncultured_Conexibacter	65	73	71	39	73	81	58	76	0	77	110	58	0	67	90	69	106	0	0	0	96	101	117	92	0	121	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Erwiniaceae; g__Pantoea	65	58	82	68	32	36	94	57	137	168	41	36	207	36	147	192	55	87	155	146	88	117	87	132	160	44	106	94	49	210	74	54	184	69	127	170	89	125	181	104	209	132
d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__uncultured; s__uncultured_Ferruginibacter	65	116	56	151	87	95	123	96	2	134	69	112	3	147	133	185	81	5	0	7	124	112	97	204	3	81	177	6	4	37	1	8	0	0	6	1	19	8	2	4	23	1
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Pseudonocardiales; f__Pseudonocardiaceae; g__Pseudonocardia	64	84	85	112	98	59	50	83	51	70	88	80	22	67	123	97	89	25	29	41	92	72	101	140	21	79	138	26	37	28	26	34	49	34	66	33	47	53	62	23	62	59
d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__Polyangiaceae; g__Aetherobacter; s__uncultured_bacterium	63	156	130	303	93	113	56	107	174	110	156	81	215	69	113	284	284	76	127	85	192	169	132	263	48	195	220	79	114	149	71	96	77	134	141	77	329	180	103	91	92	132
d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__uncultured; g__uncultured	63	73	49	73	104	58	94	138	0	106	93	52	4	31	122	76	89	0	2	4	118	106	104	109	0	92	93	12	3	16	0	3	3	0	7	0	18	0	2	0	2	6
d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__Thermoanaerobaculales; f__Thermoanaerobaculaceae; g__Subgroup_10	63	49	42	64	46	47	45	72	0	58	53	53	0	47	92	94	42	0	0	0	113	107	52	82	0	34	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__uncultured	63	155	67	102	122	132	116	89	0	143	81	85	5	53	187	156	111	0	10	7	160	161	192	170	0	171	214	16	3	4	2	3	13	20	0	0	16	2	0	1	18	2
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Methylobacterium-Methylorubrum	62	53	42	50	56	93	45	79	0	95	67	84	3	72	58	18	99	2	0	0	44	31	103	57	2	129	28	2	0	0	0	0	3	3	2	0	4	0	0	0	0	0
d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__uncultured; s__uncultured_proteobacterium	62	53	88	83	94	96	89	100	0	102	93	135	6	96	117	47	122	1	8	0	91	106	191	118	0	147	90	0	0	13	0	0	0	6	2	0	32	0	0	0	10	13
d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Blastocatellales; f__Blastocatellaceae; g__JGI_0001001-H03	62	50	163	25	148	113	161	154	0	71	155	251	1	394	79	36	117	0	1	0	35	43	140	78	0	94	39	0	1	0	0	0	0	1	0	2	0	1	1	0	0	0
d__Bacteria; p__Chloroflexi; c__Gitt-GS-136; o__Gitt-GS-136; f__Gitt-GS-136; g__Gitt-GS-136; s__uncultured_bacterium	62	47	99	110	87	74	76	109	0	103	123	140	2	142	97	117	138	10	0	0	53	123	80	118	27	69	141	7	10	31	0	3	10	0	2	0	36	16	4	4	2	2
d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	61	48	45	70	39	95	45	26	311	70	99	51	308	43	64	70	96	265	387	395	86	83	156	138	344	184	86	286	399	349	345	219	378	321	504	273	452	472	441	722	434	321
d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Bryobacterales; f__Bryobacteraceae; g__Bryobacter	61	52	36	34	64	108	81	75	0	63	64	68	0	51	46	37	47	0	0	0	36	64	128	78	0	88	28	0	0	0	0	4	0	0	0	0	3	0	0	0	0	0
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Streptomycetales; f__Streptomycetaceae; g__Streptomyces	60	41	96	42	80	90	44	59	0	84	84	66	0	68	85	33	109	0	0	0	77	80	71	66	0	103	67	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2
d__Bacteria; p__Acidobacteriota; c__Holophagae; o__Subgroup_7; f__Subgroup_7; g__Subgroup_7	60	59	139	104	131	82	111	151	0	51	93	171	1	224	85	125	117	0	0	2	75	80	84	80	0	71	174	0	0	1	1	1	0	0	0	1	3	0	1	0	0	0
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Kineosporiales; f__Kineosporiaceae	60	24	42	74	32	64	31	47	30	37	79	37	9	26	40	41	72	8	20	21	54	56	51	51	12	53	87	34	29	46	15	5	39	7	20	29	18	37	20	12	11	14
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micromonosporales; f__Micromonosporaceae; g__Dactylosporangium	59	88	7	103	42	74	73	89	40	87	82	18	32	19	109	87	105	35	65	21	126	144	101	131	51	115	162	63	55	33	25	9	50	17	98	26	32	89	35	63	26	35
d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Pedosphaerales; f__Pedosphaeraceae; g__Ellin516; s__metagenome	59	101	75	65	154	103	156	118	0	186	88	117	0	116	241	101	124	0	0	0	154	111	147	144	0	111	89	0	0	2	0	0	3	0	0	2	0	0	0	0	0	0
d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Gaiellales; f__uncultured; g__uncultured	59	74	42	67	60	83	48	48	4	28	75	20	0	26	44	69	124	0	2	2	52	70	106	51	0	90	58	4	0	0	0	0	1	0	0	0	6	5	0	0	0	6
d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Pirellulales; f__Pirellulaceae; g__Pirellula; s__uncultured_Planctomycetales	59	38	120	41	80	85	132	92	32	46	77	77	44	98	53	67	77	81	45	40	34	54	76	70	67	130	46	54	94	30	31	77	37	68	31	76	49	51	32	73	14	31
d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__uncultured	59	200	129	258	107	37	126	111	127	126	73	178	181	194	149	330	79	179	163	172	316	256	77	238	201	74	426	228	212	172	135	272	138	282	214	258	300	142	216	149	223	185
d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Bryobacterales; f__Bryobacteraceae; g__Bryobacter; s__uncultured_bacterium	58	25	55	11	67	72	56	86	0	67	65	26	4	27	88	15	79	4	0	0	53	66	96	39	0	85	24	4	13	16	3	2	5	6	8	0	23	0	3	0	5	7
d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Bryobacterales; f__Bryobacteraceae; g__Bryobacter; s__uncultured_Acidobacteria	58	85	62	66	64	76	63	48	0	83	72	43	0	67	147	91	69	0	0	1	65	105	118	108	0	89	86	0	0	0	0	0	0	0	0	2	4	0	2	0	0	0
d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Blastocatellales; f__Blastocatellaceae; g__uncultured	58	57	82	15	83	50	77	120	0	48	90	137	2	97	43	45	113	3	0	0	41	44	119	61	0	55	45	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0
d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Blastocatellales; f__Blastocatellaceae	58	43	56	96	70	61	76	92	0	89	73	129	1	121	68	111	102	0	0	0	67	59	61	116	0	46	138	0	0	5	0	2	0	2	7	0	8	5	0	5	0	0
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Phenylobacterium	58	106	71	84	80	85	92	101	65	188	78	120	58	158	132	95	108	46	29	39	160	125	188	186	55	114	187	69	75	69	64	53	67	31	56	50	54	47	55	32	46	88
d__Bacteria; p__Myxococcota; c__Polyangia; o__Haliangiales; f__Haliangiaceae; g__Haliangium	57	28	2	34	40	54	60	56	0	56	27	21	0	17	46	16	64	2	7	0	33	70	44	69	0	44	36	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Blastocatellales; f__Blastocatellaceae; g__JGI_0001001-H03; s__uncultured_bacterium	57	29	135	17	132	64	113	136	0	68	108	251	0	213	54	20	92	2	0	0	47	60	147	49	0	75	14	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Mesorhizobium	56	37	80	44	93	82	80	65	8	154	124	107	20	121	119	46	102	22	0	10	177	55	180	69	10	85	60	12	7	24	8	10	11	2	14	15	19	5	5	48	13	17
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Streptomycetales; f__Streptomycetaceae; g__Streptomyces	56	58	41	33	48	32	35	26	12	59	62	58	0	39	78	19	97	0	25	27	19	34	47	56	0	90	65	30	12	26	29	43	0	49	55	25	14	0	0	0	20	18
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micromonosporales; f__Micromonosporaceae; g__Dactylosporangium; s__uncultured_bacterium	56	147	20	103	94	46	86	94	0	63	98	38	0	33	116	40	140	0	0	0	78	80	139	85	0	80	82	0	0	0	0	0	14	0	4	0	0	0	0	0	6	0
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Frankiales; f__Frankiaceae; g__Jatrophihabitans	55	70	61	88	41	66	59	53	0	116	67	41	2	54	80	104	88	3	0	0	116	99	108	141	0	82	133	2	2	0	0	0	0	4	0	0	0	0	0	0	0	1
d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Blastocatellales; f__Blastocatellaceae	55	9	50	14	101	76	135	122	0	101	84	96	0	57	34	10	94	0	2	0	23	22	96	35	2	60	22	0	0	2	3	0	14	0	0	0	0	0	6	0	2	4
d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Niastella	55	15	42	22	36	43	58	40	35	36	56	59	86	52	25	27	19	83	55	65	422	9	67	76	91	57	56	195	162	229	261	113	23	83	8	84	15	135	92	59	44	5
d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Blastocatellales; f__Blastocatellaceae	54	106	63	110	72	47	60	95	31	77	108	67	27	88	62	126	65	75	32	53	115	163	63	96	40	80	159	40	41	8	18	75	2	83	14	61	6	0	22	47	24	61
d__Bacteria; p__Armatimonadota; c__Fimbriimonadia; o__Fimbriimonadales; f__Fimbriimonadaceae; g__Fimbriimonadaceae	54	62	69	62	102	65	102	96	0	103	82	102	0	126	120	92	68	0	0	0	47	63	106	140	2	86	74	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Massilia	54	29	67	13	88	49	63	74	36	82	143	72	48	78	25	23	77	54	37	47	33	33	15	40	35	159	27	44	43	17	71	71	33	61	117	53	17	51	35	31	89	0
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia-Caballeronia-Paraburkholderia	54	64	36	61	63	106	66	101	2	116	104	92	4	69	79	21	66	5	0	2	84	105	141	112	0	129	61	0	0	0	2	7	1	3	0	4	6	4	5	0	3	0
d__Bacteria; p__Myxococcota; c__Polyangia; o__Haliangiales; f__Haliangiaceae; g__Haliangium; s__uncultured_Myxococcales	53	6	5	37	33	74	62	30	0	76	17	17	0	1	96	38	37	0	0	0	227	22	74	49	0	59	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Ellin6055	53	52	5	52	70	45	76	60	0	92	77	33	0	37	101	94	56	0	0	0	58	61	151	104	0	96	49	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Nocardioidaceae	53	80	67	135	86	78	78	82	78	90	72	60	78	79	91	80	119	81	86	57	97	131	162	120	78	120	89	141	96	43	82	129	68	105	96	139	79	89	131	112	111	59
d__Bacteria; p__Chloroflexi; c__KD4-96; o__KD4-96; f__KD4-96; g__KD4-96	52	35	48	17	44	68	81	30	0	35	41	59	0	41	23	1	90	0	0	0	35	20	57	19	0	103	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methyloligellaceae; g__uncultured	51	91	114	110	103	106	105	97	365	99	149	135	387	141	135	112	146	530	506	648	119	112	199	136	685	148	111	600	575	713	574	439	697	427	673	368	768	642	684	759	681	458
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Limnobacter	51	61	54	46	66	63	39	53	0	59	69	79	0	60	83	54	49	0	0	0	72	74	37	70	0	86	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Pyrinomonadales; f__Pyrinomonadaceae; g__RB41	51	32	68	41	69	67	71	48	0	67	119	69	0	80	81	7	95	0	0	0	51	41	66	52	0	107	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__uncultured	50	56	76	37	60	44	96	68	0	84	109	100	0	89	71	48	103	0	0	0	60	56	89	110	0	79	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micromonosporales; f__Micromonosporaceae; g__Actinoplanes	50	55	0	67	37	105	50	8	0	120	21	0	0	4	107	42	51	0	0	0	80	30	128	52	3	53	85	0	3	1	0	0	0	0	0	0	1	0	0	0	0	5
d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Blastocatellales; f__Blastocatellaceae; g__JGI_0001001-H03; s__uncultured_bacterium	50	66	41	56	115	78	103	110	2	96	59	90	0	71	114	118	78	2	0	0	55	69	85	92	0	65	91	6	0	1	0	0	0	0	0	3	0	0	0	0	0	3
d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Blastocatellales; f__Blastocatellaceae	50	46	75	79	84	57	58	91	0	58	98	130	0	121	63	48	87	2	0	2	27	92	69	68	0	117	52	3	0	0	0	0	0	1	0	0	0	0	0	0	2	0
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micromonosporales; f__Micromonosporaceae; g__Dactylosporangium; s__uncultured_bacterium	50	65	36	113	54	65	48	65	0	87	60	16	0	14	90	143	92	0	0	0	154	153	61	153	4	113	145	3	0	0	0	0	0	0	2	0	2	1	1	0	1	0
d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__Sporosarcina	50	48	71	26	51	81	83	47	4	57	67	30	18	54	53	35	76	6	20	18	23	69	113	43	9	122	67	0	9	4	0	7	19	6	11	11	1	16	27	33	14	0
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Intrasporangiaceae; g__Phycicoccus	49	88	70	58	84	62	58	48	11	49	78	37	13	55	100	48	108	33	17	35	72	109	78	86	25	89	63	27	2	0	21	89	0	79	7	82	0	8	6	10	7	0
d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__FFCH9454; g__FFCH9454; s__uncultured_bacterium	49	2	173	3	136	86	113	116	0	59	132	223	0	229	72	0	77	2	0	0	37	21	86	31	0	118	4	0	0	2	0	0	3	2	0	0	0	0	0	2	0	2
d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Chthoniobacterales; f__Chthoniobacteraceae; g__Candidatus_Udaeobacter	48	103	99	100	128	90	137	104	0	129	81	140	0	107	99	111	81	0	0	0	107	136	91	143	0	136	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Gammaproteobacteria_Incertae_Sedis; f__Unknown_Family; g__Acidibacter; s__uncultured_proteobacterium	48	82	11	62	30	45	26	36	9	40	49	3	19	3	54	79	42	3	6	0	66	60	59	84	3	46	94	0	18	5	34	0	5	0	8	6	17	34	22	17	44	0
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Frankiales; f__uncultured; g__uncultured	48	62	109	34	65	59	72	60	0	78	114	181	0	125	89	36	71	0	0	0	46	67	74	93	0	47	59	2	0	1	0	0	0	0	3	3	4	0	0	0	0	0
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Pseudonocardiales; f__Pseudonocardiaceae; g__Pseudonocardia	48	66	70	132	65	62	53	52	0	87	75	86	0	80	95	110	111	2	0	0	123	106	100	91	10	91	125	0	0	11	0	1	17	0	4	0	0	0	0	0	20	0
d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Niastella	47	32	21	41	58	65	68	18	0	178	7	18	0	24	46	29	34	0	0	5	13	11	128	38	7	41	19	12	0	9	8	10	5	12	0	0	0	0	15	0	8	1
d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Pedosphaerales; f__Pedosphaeraceae; g__Ellin517	47	37	136	8	86	87	91	120	0	91	116	186	0	192	60	15	92	0	0	0	28	32	122	55	0	106	5	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Gammaproteobacteria_Incertae_Sedis; f__Unknown_Family; g__Acidibacter	47	45	12	87	59	123	50	82	49	110	51	6	130	18	92	131	77	41	111	66	117	38	77	76	92	69	135	133	71	43	196	47	197	46	45	49	244	61	113	135	50	33
d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Gaiellales; f__Gaiellaceae; g__Gaiella	47	39	66	69	53	66	58	43	4	45	85	73	32	41	76	41	43	8	15	27	47	68	87	65	9	65	84	21	7	122	16	14	38	11	15	16	105	54	15	0	62	75
d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__uncultured	46	23	75	41	85	57	87	63	0	65	83	131	0	185	57	54	51	0	0	0	56	38	106	92	0	69	49	0	0	10	0	0	2	0	5	0	3	0	0	0	5	0
d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Solibacterales; f__Solibacteraceae; g__Candidatus_Solibacter; s__uncultured_forest	46	74	28	78	63	76	81	65	0	99	66	53	0	31	90	35	49	0	0	0	49	102	102	127	0	70	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Acetobacterales; f__Acetobacteraceae; g__uncultured	46	31	61	44	31	97	36	38	0	49	65	26	0	34	92	57	62	0	0	0	87	80	103	85	0	89	27	4	2	0	0	0	2	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Steroidobacterales; f__Steroidobacteraceae; g__Steroidobacter	46	15	0	24	22	24	13	7	0	25	33	0	0	5	42	29	29	0	0	0	28	3	24	40	0	46	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Pseudolabrys; s__uncultured_Pseudolabrys	46	63	53	61	93	54	70	93	0	126	98	158	0	145	122	86	91	0	0	0	90	91	79	105	0	97	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methyloligellaceae; g__Methyloligellaceae; s__uncultured_bacterium	46	48	79	70	67	66	69	34	146	55	84	83	182	75	75	56	52	188	142	168	67	49	85	67	177	105	106	141	198	198	152	184	161	196	202	193	223	228	239	254	209	140
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__SC-I-84; g__SC-I-84	45	102	97	93	129	120	126	131	0	110	91	108	0	115	124	89	100	0	0	0	155	158	104	149	0	164	127	4	0	0	0	0	0	0	0	3	2	0	1	1	0	0
d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__uncultured; g__uncultured; s__uncultured_Acidobacteriales	45	24	41	31	51	81	52	53	52	50	72	54	45	56	42	33	46	69	59	68	45	44	77	44	34	50	67	57	61	30	69	32	32	57	14	32	22	35	51	36	52	3
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__uncultured	45	63	80	63	58	22	26	52	90	47	79	42	97	47	34	77	54	114	119	185	90	88	69	60	134	75	105	120	185	185	178	92	198	115	170	68	215	229	186	111	210	165
d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__11-24; f__11-24; g__11-24	45	26	40	40	77	55	64	84	0	43	104	77	1	71	79	35	93	0	0	0	46	36	62	69	0	101	52	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0
d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Pedosphaerales; f__Pedosphaeraceae; g__Ellin517; s__metagenome	45	17	93	27	66	57	58	80	0	47	96	138	1	121	63	12	67	1	0	9	32	34	81	45	0	40	19	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Streptomycetales; f__Streptomycetaceae; g__Streptomyces	44	13	29	3	14	18	7	5	0	55	20	19	0	6	32	35	26	0	0	0	23	25	54	50	0	56	77	0	0	9	0	0	0	0	0	0	2	0	0	0	0	0
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micromonosporales; f__Micromonosporaceae; g__Actinoplanes	44	71	4	22	13	66	26	27	9	47	32	14	22	4	21	16	44	4	16	3	30	15	60	42	14	63	42	9	2	6	12	0	23	4	19	0	16	8	9	6	14	9
d__Bacteria; p__Firmicutes; c__Bacilli; o__Paenibacillales; f__Paenibacillaceae; g__Paenibacillus	44	39	54	31	48	58	33	30	25	50	61	31	7	51	45	45	85	15	14	13	46	30	102	60	18	83	64	19	8	19	9	6	14	26	22	3	1	25	10	23	5	16
d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Pyrinomonadales; f__Pyrinomonadaceae; g__RB41	43	93	78	100	109	77	115	126	0	90	107	89	0	156	166	136	83	0	0	0	83	128	96	134	0	87	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__uncultured; g__uncultured; s__uncultured_Acidobacteriales	43	31	26	0	85	106	95	122	0	53	79	71	0	88	42	5	89	0	0	0	43	26	93	47	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Acidobacteriota; c__Holophagae; o__Subgroup_7; f__Subgroup_7; g__Subgroup_7; s__uncultured_candidate	43	53	78	43	57	51	80	78	0	67	79	161	0	87	57	72	67	0	0	0	33	69	59	28	0	71	84	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Pseudolabrys	42	50	41	112	69	44	49	62	0	65	52	36	0	37	72	82	64	0	0	0	71	100	72	69	0	51	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Chthoniobacterales; f__Chthoniobacteraceae; g__Chthoniobacter; s__uncultured_Verrucomicrobia	42	96	34	50	65	84	57	46	10	65	53	22	13	58	69	137	83	24	8	18	75	53	105	159	14	165	151	22	2	9	10	14	5	9	23	3	4	11	9	0	23	13
d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Niastella; s__uncultured_Niastella	41	2	37	1	37	44	34	18	0	34	40	47	0	34	89	9	22	0	0	0	2	29	114	15	0	34	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Firmicutes; c__Bacilli; o__Alicyclobacillales; f__Alicyclobacillaceae; g__Tumebacillus; s__uncultured_bacterium	41	24	72	59	47	89	46	53	2	59	68	87	0	98	37	9	63	0	0	0	37	51	86	29	0	147	71	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria	41	104	63	123	66	60	69	83	0	119	44	90	0	65	168	82	45	0	0	0	116	135	58	158	0	59	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Bryobacterales; f__Bryobacteraceae; g__Bryobacter	41	65	24	74	45	79	44	33	0	48	37	0	0	27	59	69	62	0	0	0	80	52	36	61	0	81	52	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Niastella	41	27	32	29	17	42	34	62	0	74	40	22	20	36	59	28	24	2	11	5	6	15	51	16	16	24	61	3	11	0	0	0	0	0	5	6	0	8	15	42	0	3
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Streptosporangiales; f__Streptosporangiaceae; g__Microbispora	41	6	0	33	37	34	17	10	0	16	22	9	0	16	30	26	31	0	0	0	22	28	41	16	0	47	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Steroidobacterales; f__Steroidobacteraceae; g__Steroidobacter	41	36	0	54	17	21	25	19	6	57	35	0	10	10	46	37	26	0	9	0	62	54	67	68	0	19	89	0	0	0	0	8	0	13	27	0	0	0	0	32	0	0
d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Mucilaginibacter	41	0	10	4	69	38	29	15	0	116	27	22	0	15	146	16	16	0	0	0	14	26	32	71	2	49	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__C0119; f__C0119; g__C0119; s__uncultured_soil	40	48	90	55	115	93	88	81	0	71	83	142	0	111	95	26	83	0	0	0	74	51	86	56	0	69	69	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Spirosomaceae; g__Dyadobacter	40	3	16	0	21	61	50	45	87	77	16	21	27	28	39	0	19	71	40	27	53	15	12	10	43	47	0	75	23	0	123	112	86	88	7	71	9	25	23	151	49	79
